code,name,synonyms,unit,tables,comments,examples
"NA","sodium","","mg\nNote# If the value is expressed in millimoles, mmol must be explicitly stated with the secondary tagname <UNIT/>.","USDA 307, SFK, MW, IND, NE, EA, PRC, DAN, SWD","",""
"NACL","salt","NACL","mg","USDA 375, SFK","",""
"NAM","nitrogen, amino","","g","","",""
"NHAEM","iron, non-haem","","mg","","",""
"NI","nickel","","mcg","USDA 371, SFK, PRC","",""
"NIA","niacin, preformed","nicotinic acid; nicotinamide (These terms are not true synonyms but are often used in food tables to refer to niacin.)","mg","USDA 406, SFK, MW, ETH, IND, NE, EA, PRC, DAN, SWD","Nicotinic acid and nicotinamide.",""
"NIAAVL","niacin, available","","mg","","total niacin minus bound niacin",""
"NIAEQ","niacin equivalents, total","","mg","USDA 409, DAN, SWD","Preformed niacin plus niacin equivalents from tryptophan.",""
"NIATRP","niacin equivalents from tryptophan","","mg","USDA 407 & 408, MW, DAN","1/60 x tryptophan.",""
"NITRA","nitrates","","mg","USDA 264, SFK","",""
"NITRI","nitrites","","mg","USDA 265, SFK","",""
"NITRN","nitrosamine, total","","mg","USDA 266","",""
"NITRNN","nitrosamine, non-volatile","","mg","","",""
"NITRNV","nitrosamine, volatile","","mg","","Subject of forthcoming regulations.",""
"NNP","nitrogen, non-protein","","mg","","",""
"NPRO","nitrogen, protein","","g","","",""
"NT","nitrogen, total","","g","USDA 202, MW, ETH, EGP, IND, NE, EA","Determined by Kjeldahl method.",""
"OA","organic acids, total","","g","","",""
"OLSAC","oligosaccharides, total available","","g","","",""
"OLSACM","oligosaccharides, total available; expressed in monosaccharide equivalents","","g","","",""
"OXACAC","oxaloacetic acid","","mg","USDA 244, SFK","",""
"OXALAC","oxalic acid","","mg","USDA 245, SFK, IND","",""
"P","phosphorus","","mg","USDA 305, SFK, MW, ETH, EGP, IND, NE, EA, PRC, DAN, SWD","",""
"PANTAC","pantothenic acid","D-pantothenate; vitamin B-5 (obsolete term, may still appear in some tables)","mg","USDA 410, SFK, MW, EA, DAN, SWD","",""
"PARHBAC","parahydrobenzoic acid","","mg","SFK","",""
"PB","lead","","mcg","USDA 367","",""
"PCHOLN","Phosphocholine","","","","",""
"PECT","pectin","","g","USDA 220, SFK, SWD","Reflects AOAC or equivalent procedure. Polymers of galacturonic acid unspecified.\nNote# Additional tagnames will be added, when needed by food composition tables and data bases, to reflect the very large number of polysaccharides present in foods and, specifically, to reflect different degrees of methoxylation in pectic substances.",""
"PENSN","pentosan","","g","USDA 222, SFK","",""
"PHE","phenylalanine","","mg","USDA 508, SFK, ETH, NE, EA, DAN, SWD","Includes only L- phenylalanine.",""
"PHOLIP","phospholipids, total","","g","USDA 603","",""
"PHYSTR","phytosterols, total","total plant sterols","mg","USDA 636","Includes avenasterol, brassicasterol, campesterol, sitosterol, spinasterol, and stigmasterol.",""
"PHYTAC","phytic acid","phytin P","mg","USDA 246, SFK, MW, IND","",""
"PIPN","piperine","","g","USDA 259","",""
"PRO","proline","","mg","USDA 517, SFK, ETH, NE, EA, DAN, SWD","Includes only L-proline.",""
"PROA","protein, total; determined by direct analysis","","g","","",""
"PROANI","protein from animal sources","","g","","",""
"PROCNA","protein, total; calculated from amino nitrogen","","g","","Two pieces of data are associated with the tagname <PROCNA>. The first is the quantity of total protein and the second is the conversion factor used to calculate total protein from amino nitrogen.\nNote# The total protein found in food tables is rarely calculated from amino nitrogen. <PROCNT> is the appropriate tagname for total protein in most cases.",""
"PROCNP","protein, total; calculated from protein nitrogen","","g","","Two pieces of data are associated with the tagname <PROCNP>. The first is the quantity of total protein and the second is the conversion factor used to calculate total protein from protein nitrogen.\nNote# The total protein found in food tables is rarely calculated from protein nitrogen. <PROCNT> is the appropriate tagname for total protein in most cases.",""
"PROCNT","protein, total; calculated from total nitrogen","","g","EGP, NE, EA, MW, DAN, USDA 203, SFK, IND, PRC","Three pieces of data are associated with the tagname <PROCNT>. The first is the quantity of total protein; the second is a keyword which identifies the source of the conversion factor used to calculate the total protein from total nitrogen; and the third is the actual conversion factor used. If possible, all three pieces of data should be included with <PROCNT>. However, it is acceptable to include only the keyword or the conversion factor (rather than both) with the total protein value if one or the other is unknown. If the conversion factor used was generated from a source other than one of those identified by the available keywords, the conversion factor should be listed without any keyword information.","The 3.2 g/100 g of protein in cow's milk which is listed in the Nutritive Value of Indian Foods was calculated from total nitrogen using the 6.25 conversion factor. Therefore, the protein value would be listed using the <PROCNT> tagname and the STD keyword:\n<PROCNT> 3.2 STD </PROCNT>\n\nThe 3.3 g/100 g of protein in cow's milk which is listed in McCance and Widdowson was calculated from total nitrogen using a 6.38 conversion factor. This factor was obtained from the FAO publication. Therefore, the protein value would be listed using the <PROCNT> tagname, the FAO keyword, and the <XN> secondary tagname:\n<PROCNT> 3.3 FAO <XN> 6.38 </PROCNT>\n\nAs a hypothetical example, if a value of 0.3 g/100 g of protein in watermelon seeds were calculated from total nitrogen using the conversion factor 5.30, and this value had not been taken from one of the tables identified by the list of keywords, the protein value would be listed using the <PROCNT> tagname in the following manner:\n<PROCNT> 0.3 <XN> 5.30 </PROCNT>\nNote# In these examples, </PROCNT> is an end-tag required in interchange format to indicate the end of the information about protein calculated from total nitrogen. See the INFOODS Data Interchange Handbook for details on interchange format."
"PRO-","protein, total; method of determination unknown or variable","","g","","The <PRO-> tagname should be used for a total protein value when it is not known whether the value was the result of a direct analysis or whether it was calculated from total nitrogen, protein nitrogen, or amino nitrogen. The <PRO-> tagname should also be used if it is known that the total protein value was calculated from one of the nitrogen components, but the conversion factor used in the calculation is unknown.",""
"PROPAC","propionic acid","","mg","SFK","",""
"PROPLA","protein from plant sources","","g","","",""
"PSACALG","polysaccharides, algal","","g","","Includes carageenan, agar, and alginates.",""
"PSACNC","polysaccharides, non-cellulosic","","g","SWD","Includes hemicellulose, pectin, gums, algal polysaccharides, and mucilages.",""
"PSACNCI","polysaccharides, non-cellulosic, water-insoluble","","g","SWD","",""
"PSACNCS","polysaccharides, non-cellulosic, water-soluble","","g","SWD","",""
"PSACNS","polysaccharides, non-starch","","g","","Includes non-cellulosic polysaccharides and cellulose.",""
"PSACNSI","polysaccharides, non-starch, water- insoluble","","g","","",""
"PSACNSS","polysaccharides, non-starch, water- soluble","","g","","",""
"PURAC","polyuronic acids","","mg","SFK, DAN","",""
"PURN","purines","","mg","SFK","",""
"PYRUAC","pyruvic acid","","mg","USDA 247, SFK","",""
"PYRXL","pyridoxal","","mg","USDA 412","Vitamin B-6 aldehyde form.",""
"PYRXM","pyridoxamine","","mg","USDA 413","Vitamin B-6 amine form.",""
"PYRXN","pyridoxine","","mg","USDA 411, EA","Vitamin B-6 alcohol form.",""
"QUINAC","quinic acid","","mg","USDA 248, SFK","",""
"RAFS","raffinose","","g","SFK","Not available for humans.",""
"RAFSM","Raffinose, expressed in monosaccharide equivalents","","g","","",""
"RB","Rubidium","","mg","","",""
"RETAL","retinal","","mcg","","",""
"RETALD","retinaldehyde","","mcg","","",""
"RETOL","retinol","preformed vitamin A","mcg","USDA 319, MW, NE, EA, DAN, SWD","All-trans retinol only.",""
"RETOL13","13-cis retinol","","mcg","","",""
"RHAFB","rhamnose in dietary fibre","","mg","","",""
"RHAS","rhamnose","","g","","Includes only the free sugar.",""
"RIBF","riboflavin","Vitamin B-2; riboflavine.","mg","USDA 405, SFK, MW, ETH, IND, NE, EA, PRC, DAN, SWD","",""
"RIBS","ribose","","g","","D-ribose only; includes only the free monosaccharide.",""
"S","sulphur","","mg","USDA 308, MW, IND","",""
"SALAC","salicylic acid","","mg","USDA 249","",""
"SB","Antimony","","","NZ","",""
"SE","selenium, total","","mcg","USDA 317, SFK, EA, PRC, DAN, SWD","",""
"SEIO","selenium, inorganic","","mcg","","",""
"SEO","selenium, organic","","mcg","","",""
"SER","serine","","mg","USDA 518, SFK, ETH, NE, EA, DAN, SWD","Includes only L-serine.",""
"SEROTN","serotonin","","mg","SFK","",""
"SHIKAC","shikimic acid","","mg","SFK","",""
"SI","silicon","","mcg","USDA 378, SFK, PRC","",""
"SITSTR","sitosterol","","mg","USDA 641, SFK","Beta-sitosterol only.",""
"SN","tin","","mcg","USDA 385, SFK","",""
"SOLO","Other solids","","g","","",""
"SORTL","sorbitol","","mg","USDA 261, SFK","",""
"SPISTR","spinasterol","","mg","USDA 650, FRN","Alpha-spinasterol only.",""
"SR","strontium","","mcg","USDA 380","",""
"STARCH","starch, total","","g","USDA 209, SFK, DAN, SWD","The sum of all polysaccharides yielding glucose after hydrolysis with suitable enzymes; includes amylose, amylopectin, glycogen, and dextrins.",""
"STARCHM","starch, total; expressed in monosaccharide equivalents","","g","MW","The sum of all polysaccharides yielding glucose after hydrolysis with suitable enzymes; includes amylose, amylopectin, glycogen, and dextrins.",""
"STARES","starch, resistant","retrograded starch","g","","",""
"STAS","stachyose","","g","SFK","Not available for humans.",""
"STERFRE","sterols, free","","mg","USDA 660, SFK","",""
"STERT","sterols, total","","mg","USDA 634, SFK","Non-specific colorimetric method or sum of cholesterol and phytosterols.",""
"STID7","delta 7-stigmasterol","","mg","USDA 638, SFK","Values reported as ``stigmasterol'' in food tables are usually a measure of the delta 7 form only.",""
"SUCAC","succinic acid","","mg","USDA 250, SFK","",""
"SUCS","sucrose","","g","USDA 210, SFK, DAN, SWD","",""
"SUCSM","sucrose; expressed in monosaccharide equivalents","","g","","",""
"SUGAR","sugars, total","","g","USDA 269, SFK, DAN, SWD","Sum of free monosaccharides and disaccharides.",""
"SUGARM","sugars, total; expressed in monosaccharide equivalents","","g","MW","Sum of free monosaccharides and disaccharides expressed in monosaccharide equivalents.",""
"SUGIN","invert sugar","","g","SFK","Obsolete.",""
"SUGNRD","sugars, non-reducing","","g","USDA 270, SFK","Obsolete.",""
"SUGRD","sugars, reducing","","g","USDA 274, SFK","Obsolete.",""
"TAN","tannins","","mg","","",""
"TARAC","tartaric acid","","mg","USDA 251, SFK","",""
"TAU","taurine","","mg","","",""
"TGLY","triglycerides, total","","g","USDA 657","",""
"THEBRN","theobromine","","mg","USDA 263, SFK","",""
"THIA","thiamin","vitamin B-1; aneurin; thiamine","mg","USDA 404, SFK, MW, ETH, IND, NE, EA, PRC, DAN, SWD","",""
"THR","threonine","","mg","USDA 502, SFK, ETH, NE, EA, DAN, SWD","Includes only L-threonine.",""
"TOCPHA","alpha-tocopherol","","mg","USDA 323, SFK, DAN, SWD","",""
"TOCPHB","beta-tocopherol","","mg","USDA 341, SFK","",""
"TOCPHD","delta-tocopherol","","mg","USDA 343, SFK","",""
"TOCPHG","gamma-tocopherol","","mg","USDA 342, SFK","",""
"TOCPHT","Total tocopheral","","mcg","USDA (nutrient number?)","",""
"TOCTRA","alpha-tocotrienol","","mg","USDA 344, SFK, DAN","",""
"TOCTRB","beta-tocotrienol","","mg","USDA 345, SFK","",""
"TOCTRD","delta-tocotrienol","","mg","USDA 347","",""
"TOCTRG","gamma-tocotrienol","","mg","USDA 346, SFK","",""
"TRP","tryptophan","","mg","USDA 501, SFK, ETH, NE, EA, DAN, SWD","Includes only L-tryptophan.",""
"TRYPN","tryptamine","","mg","SFK","",""
"TYR","tyrosine","","mg","USDA 509, SFK, ETH, NE, EA, DAN, SWD","Includes only L-tyrosine.",""
"UNSAP","unsaponifiable matter","","g","USDA 643, EA","",""
"V","vanadium","","mcg","USDA 389, SFK","",""
"VAL","valine","","mg","USDA 510, SFK, ETH, NE, EA, DAN, SWD","Includes only L-valine.",""
"VERS","verbascose","","g","","",""
"VITA","vitamin A; calculated by summation of the vitamin A activities of retinol and the active carotenoids","retinol equivalents","mcg. The value for <VITA> may be expressed in international units instead of the default unit of micrograms. International units are not preferred; however, if they are used, IU must be explicitly stated with the secondary tagname <UNIT/>.\nNote# It would be confusing and would imply additional information that does not exist if two <VITA> values, i.e., one expressed in mcg and the other expressed in IU, were included for a single food item when one value has simply been calculated from the other using the following conversion","USDA 392 and 318, ETH, IND, DAN","Total vitamin A activity = mcg retinol + 1/6 mcg beta-carotene + 1/12 mcg other provitamin A carotenoids.",""
"VITAA","vitamin A; determined by bioassay","","IU","","",""
"VITA-","vitamin A; method of determination unknown","","mcg. The value for <VITA-> may be expressed in international units instead of the default unit of micrograms. International units are not preferred; however, if they are used, IU must be explicitly stated with the secondary tagname <UNIT/>.","","The <VITA-> tagname should be used if it is not known whether the vitamin A value was determined by bioassay or by calculation.",""
"VITAACT","vitamin A acetate","","mcg","USDA 325","",""
"VITAPAL","vitamin A palmitate","","mcg","USDA 326","",""
"VITB6A","vitamin B-6, total; determined by analysis","","mg","USDA 415, MW","",""
"VITB6C","vitamin B-6, total; calculated by summation","","mg","USDA 414, SFK, MW, DAN","Pyridoxal plus pyridoxamine plus pyridoxine.",""
"VITB6-","vitamin B-6, total; method of determination unknown variable","","mg","","The <VITB6-> tagname should be used if it is not known whether the vitamin B-6 value was determined by analysis or by calculation.",""
"VITB12","vitamin B-12","cobalamin","mcg","USDA 418, SFK, MW, ETH, IND, EA, PRC, DAN, SWD","Includes all the active forms of vitamin B-12 in food.",""
"VITC","vitamin C","ascorbic acid; ascorbate (Note that these terms are not true synonyms but are often found in food tables to refer to vitamin C.)","mg","USDA 401, SFK, MW, ETH, IND, NE, EA, PRC, DAN","L-ascorbic acid plus L- dehydroascorbic acid.",""
"VITD","vitamin D; calculated by summation of ergocalciferol and cholecalciferol","calciferol","mcg. The value for <VITD> may be expressed in international units instead of the default unit of micrograms. International units are not preferred; however, if they are used, IU must be explicitly stated with the secondary tagname <UNIT/>.\nNote# It would be confusing and would imply additional information that does not exist if two <VITD> values, i.e., one expressed in mcg and the other expressed in IU, were included for a single food item when one value has simply been calculated from the other using the conversion equation: 1 mcg vitamin D = 40 IU. Consequently, one or the other should be used, but not both.","USDA 324, MW","Ergocalciferol plus cholecalciferol.",""
"VITDA","vitamin D; determined by bioassay","calciferol","IU","MW","",""
"VITD-","vitamin D; method of determination unknown or variable","","mcg. The value for <VITD-> may be expressed in international units instead of the default unit of micrograms. International units are not preferred; however, if they are used, IU must be explicitly stated with the secondary tagname <UNIT/>.\nNote# It would be confusing and would imply additional information that does not exist if two <VITD-> values, i.e., one expressed in mcg and the other expressed in IU, were included for a single food item when one value has simply been calculated from the other using the conversion equation: 1 mcg vitamin D = 40 IU. Consequently, one or the other should be used, but not both.","","The <VITD-> tagname should be used if it is not known whether the vitamin D value was determined by bioassay or by calculation.",""
"VITE","vitamin E; calculated by summation of the vitamin E activities of the active tocopherols and tocotrienols; expressed as alpha-tocopherol equivalents","","mg. The value for <VITE> may be expressed in international units instead of the default unit of milligrams. International units are not preferred; however, if they are used, IU must be explicitly stated with the secondary tagname <UNIT/>.\nNote# It would be confusing and would imply additional information that does not exist if two <VITE> values, i.e., one expressed in mg and the other expressed in IU, were included for a single food item when one value has simply been calculated from the other using the conversion equation: 1 mg alpha-tocopherol equivalents = 1.49 IU. Consequently, one or the other should be used, but not both.","USDA 340, MW","In addition to a value for the quantity of vitamin E expressed as alpha- tocopherol equivalents, <VITE> includes a description or listing of the conversion factors used to calculate this vitamin E value from the active tocopherols and tocotrienols. The conversion factors may be described by a keyword or may be listed using secondary tagnames within <VITE>. (More than one <VITE> tagname may exist for a single food item if the values were calculated from the active tocopherols and tocotrienols using different conversion factors.)","The 0.10 mg/100 g vitamin E value for fresh, whole cow's milk in the McCance and Widdowson food table represents alpha- tocopherol only. Consequently, the value 0.10 would be shown with the <TOCPHA> tagname, not the <VITE> tagname and the associated keyword:\n<TOCPHA> 0.10 </TOCPHA>\n\nIf a vitamin E value of 0.12, expressed in alpha-tocopherol equivalents, were calculated for whole cow's milk from the alpha-tocopherol, beta-tocopherol, gamma- tocopherol, and alpha-tocotrienol values, and the conversion factors used did not conform to any of the factors described by the available keywords, the vitamin E value would be listed using the <VITE> tagname and the <XBTP>, <XGTP>, and <XATT> secondary tagnames:\n<VITE> 0.12 <XBTP> 0.4 <XGTP> 0.1 <XATT> 0.25 </VITE>\nNote# In these examples, </VITE> and </TOCPHA> are end-tags required in interchange format to indicate the end of the vitamin E information. See the INFOODS Data Interchange Handbook for details on interchange format."
"VITEA","vitamin E; determined by bioassay","","IU","","Rarely used, not in major tables.",""
"VITE-","vitamin E, method of determination unknown or variable; expressed as alpha- tocopherol equivalents.","","mg. The value for <VITE-> may be expressed in international units instead of the default unit of milligrams. International units are not preferred; however, if they are used, IU must be explicitly stated with the secondary tagname <UNIT/>.","","The <VITE-> tagname should be used if it is not known whether the vitamin E value was determined by bioassay or by calculation. It should also be used if it is known that the vitamin E value was determined by calculation but the conversion factors used in the calculation are not known.",""
"VITK","vitamin K","","mcg","SFK, DAN, SWD","Vitamin K-1 plus vitamin K- 2.",""
"WATER","water","moisture","g","USDA 255, SFK, MW, ETH, EGP, IND, NE, EA, PRC, DAN, SWD","",""
"WAX","wax, total","wax esters","mg","USDA 661","",""
"WHEY","whey protein","","mg","SFK","",""
"XYLFB","xylose in dietary fibre","","mg","","",""
"XYLN","xylan","","g","","",""
"XYLS","xylose","","g","SFK","D-xylose only; includes only the free monosaccharide.",""
"XYLTL","xylitol","","mg","SF","",""
"ZEA","zeaxanthin","","mcg","USDA","",""
"ZN","zinc","","mg","USDA 309, MW, EA, PRC, DAN, SWD","",""
"AAAN","amino acids, total aromatic; expressed per quantity of nitrogen","","mg/g nitrogen","EA, SWD","Phenylalanine plus tyrosine only, in spite of the fact that tryptophan is also chemically aromatic.",""
"AAAP","amino acids, total aromatic; expressed per quantity of protein","","mg/100 g protein","","Phenylalanine plus tyrosine only, in spite of the fact that tryptophan is also chemically aromatic.",""
"AAET8-","essential to total amino acid ratio; includes the eight basic essential amino acids: isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","See page ? for a discussion of the denominator of this ratio.",""
"AAET10A","essential to total amino acid ratio; includes the eight basic essential amino acids plus arginine and histidine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","Arginine and histidine are included in this essential amino acid total because they are essential for infants. See page ? for a discussion of the denominator of this ratio.",""
"AAET10B","essential to total amino acid ratio; includes the eight basic essential amino acids plus cystine and tyrosine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","Cystine and tyrosine are included in this essential amino acid total because of their sparing effect on methionine and phenylalanine respectively. See page ? for a discussion of the denominator of this ratio.",""
"AAET12","essential to total amino acid ratio; includes the eight basic essential amino acids plus arginine, histidine, cystine, and tyrosine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","ETH","Arginine and histidine are included in this essential amino acid total because they are essential for infants; cystine and histidine are included in the total because of their sparing effects on methionine and phenylalanine respectively. See page ? for a discussion of the denominator of this ratio.",""
"AAET-","essential to total amino acid ratio; neither the numerator (which amino acids are considered essential) nor the denominator (which amino acids are included in the total) is specified","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","See page ? for a discussion of the denominator of this ratio.",""
"AAE8N","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids: isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine","","mg/g nitrogen","","",""
"AAE8P","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids: isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan and valine","","mg/100 g protein","","",""
"AAE10AN","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids plus arginine and histidine","","mg/g nitrogen","","Arginine and histidine are included in this total essential amino acid value because they are essential for infants.",""
"AAE10AP","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids plus arginine and histidine","","mg/100 g protein","","Arginine and histidine are included in this total essential amino acid value because they are essential for infants.",""
"AAE10BN","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids plus cystine and tyrosine","","mg/g nitrogen","","Cystine and tyrosine are included in this total essential amino acid value because of their sparing effects on methionine and phenylalanine respectively.",""
"AAE10BP","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids plus cystine and tyrosine","","mg/100 g protein","","Cystine and tyrosine are included in this total essential amino acid value because of their sparing effects on methionine and phenylalanine respectively.",""
"AAE12N","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids plus arginine, histidine, cystine, and tyrosine","","mg/g nitrogen","ETH, NE, EA","Arginine and histidine are included in this total essential amino acid value because they are essential for infants; cystine and tyrosine are included because of their sparing effects on methionine and phenylalanine respectively.",""
"AAE12P","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids plus arginine, histidine, cystine, and tyrosine","","mg/100 g protein","","Arginine and histidine are included in this total essential amino acid value because they are essential for infants; cystine and tyrosine are included because of their sparing effects on methionine and phenylalanine respectively.",""
"AAEN-","amino acids, total essential; expressed per quantity of nitrogen; unknown which amino acids are included in the total value","","mg/g nitrogen","","",""
"AAEP-","amino acids, total essential; expressed per quantity of protein; unknown which amino acids are included in the total value","","mg/100 g protein","","",""
"AALB","limiting amino acid; determined through biological experiment","","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","","Two pieces of data are associated with the tagname <AALB>. The first is the tagname of the limiting amino acid; the second is a keyword identifying the animal used in the biological experiments which determined the limiting amino acid.",""
"AALC","limiting amino acid; determined through calculation","","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","EA","The limiting amino acid is determined by comparing the quantity of each essential amino acid in the food to the quantity of the same amino acid in a reference protein or amino acid mixture. The amino acid found in the lowest ratio is the limiting amino acid. Two data items are associated with tagname <AALB>. The first is the tagname of the limiting amino acid; the second is a keyword identifying the reference protein or amino acid pattern used in calculation of the chemical (amino acid) score.","In the FAO Food Composition Table for Use in East Asia, lysine is listed as the limiting amino acid in sesame seeds. This determination was made through calculations of chemical score using the FAO reference protein pattern recommended in 1973. Therefore, the <AALC> tagname would be used to convey this information in the following manner:\n<AALC> LYS FAO73 </AALC>\nNote# In this example, </AALC> is an end-tag required in interchange format to indicate the end of the information about the limiting amino acid. See the INFOODS Data Interchange Handbook for details on interchange format."
"AASN","amino acids, total sulphur-containing; expressed per quantity of nitrogen","","mg/g nitrogen","NE, EA, SWD","Cystine plus methionine.",""
"AASP","amino acids, total sulphur-containing; expressed per quantity of protein","","mg/100 g protein","","Cystine plus methionine.",""
"AATN","amino acids, total; expressed per quantity of nitrogen","","mg/g nitrogen","ETH, NE, EA","",""
"AATP","amino acids, total; expressed per quantity of protein","","mg/100 g protein","","",""
"ALAN","alanine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"ALAP","alanine; expressed per quantity of protein","","mg/100 g protein","","",""
"ARGN","arginine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"ARGP","arginine; expressed per quantity of protein","","mg/100 g protein","","",""
"ASNN","asparagine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA","",""
"ASNP","asparagine; expressed per quantity of protein","","mg/100 g protein","","",""
"ASPN","aspartic acid; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"ASPP","aspartic acid; expressed per quantity of protein","","mg/100 g protein","","",""
"CHEMSC","chemical score","protein score, amino acid score","None (The chemical score should be expressed as a ratio, not as a percentage value. Also, the use of <UNIT/> is prohibited with this tagname since no unit is required.)","ETH, EA","Chemical score is the ratio of the quantity of the limiting amino acid in the food per quantity of this same amino acid in the protein of egg or a standard amino acid reference mixture.","In the FAO Food Composition Table For Use in East Asia, the chemical score for sesame seeds is listed as 58 (this is a percentage: 0.58 x 100). The value was calculated using the 1973 FAO reference protein pattern. This information would be conveyed using the <CHEMSC> tagname in the following"
"CYSN","cystine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"CYSP","cystine; expressed per quantity of protein","","mg/100 g protein","","",""
"DEN","density","","mass per unit volume, unit usually g/cubic cm","","",""
"ENERPA","energy, percent contributed by alcohol","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"ENERPC","energy, percent contributed by carbohydrate","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"ENERPF","energy, percent contributed by fat","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"ENERPP","energy, percent contributed by protein","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"F4D0F","fatty acid 4:0; expressed per quantity of total fatty acids","butyric acid; tetranoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F5D0F","fatty acid 5:0","","g/100g total fatty acid","","",""
"F6D0F","fatty acid 6:0; expressed per quantity of total fatty acids","caproic acid; hexanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F8D0F","fatty acid 8:0; expressed per quantity of total fatty acids","caprylic acid; octanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F10D0F","fatty acid 10:0; expressed per quantity of total fatty acids","capric acid; decanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F12D0F","fatty acid 12:0; expressed per quantity of total fatty acids","lauric acid; dodecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F13D0F","fatty acid 13:0; expressed per quantity of total fatty acids","tridecanoic acid","g/100 g fatty acid","FRN","",""
"F14D0F","fatty acid 14:0; expressed per quantity of total fatty acids","myristic acid; tetradecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F15D0F","fatty acid 15:0; expressed per quantity of total fatty acids","pentadecylic acid; pentadecanoic acid","g/100 g fatty acid","FRN, DAN","",""
"F16D0F","fatty acid 16:0; expressed per quantity of total fatty acids","palmitic acid; hexadecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F17D0F","fatty acid 17:0; expressed per quantity of total fatty acids","margaric acid; heptadecanoic acid","g/100 g fatty acid","FRN, DAN","",""
"F18D0F","fatty acid 18:0; expressed per quantity of total fatty acids","stearic acid; octadecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F19D0F","fatty acid 19:0","","g/100g total fatty acid, nonadecanoic acid","","",""
"F20D0F","fatty acid 20:0; expressed per quantity of total fatty acids","arachidic acid; eicosanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F21D0F","fatty acid 21:0","","g/100g total fatty acid","","",""
"F22D0F","fatty acid 22:0; expressed per quantity of total fatty acids","behenic acid; docosanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F23D0F","fatty acid 23:0; expressed per quantity of total fatty acids","tricosanoic acid","g/100 g fatty acid","FRN","",""
"F24D0F","fatty acid 24:0; expressed per quantity of total fatty acids","lignoceric acid; tetracosanoic acid","g/100 g fatty acid","MW, FRN","",""
"F10D1F","fatty acid 10:1; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F12D1F","fatty acid 12:1; expressed per quantity of total fatty acids","lauroleic acid","g/100 g fatty acid","FRN","",""
"F14D1F","fatty acid 14:1; expressed per quantity of total fatty acids","myristoleic acid; tetradecenoic acid","g/100 g fatty acid","FRN, DAN","",""
"F15D1F","fatty acid 15:1; expressed per quantity of total fatty acids","pentadecenoic acid","g/100 g fatty acid","FRN, DAN","",""
"F15D1N9F","fatty acid 15:1 n-9","","g/100g total fatty acid","","",""
"F16D1F","fatty acid 16:1; expressed per quantity of total fatty acids","palmitoleic acid; hexadecenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F17D1F","fatty acid 17:1; expressed per quantity of total fatty acids","heptadecenoic acid","g/100 g fatty acid","FRN, DAN","",""
